,location,recognizability,age,participant_id,drawing_category,distance,distance_euclidean,distance_Beijing,distance_euclidean_Beijing,distance_Kisumu,distance_euclidean_Kisumu,distance_USA,distance_euclidean_USA,distance_India,distance_euclidean_India
2259,USA,0.354248046875,7,e21542049475400,watch,0.04492,3.57,0.05615234375,3.97265625,0.0625,4.22265625,0.044921875,3.5703125,0.04492,3.611
2260,USA,0.9658203125,4,e21540576907849,hat,0.04785,3.58,0.05615234375,3.865234375,0.05712890625,3.892578125,0.0478515625,3.580078125,0.06152,4.08
2261,USA,0.342041015625,9,e21555102208611,rabbit,0.05566,4.03,0.07666015625,4.703125,0.07373046875,4.62890625,0.0556640625,4.03125,0.06836,4.44
2262,USA,0.0989990234375,4,e21547663022993,bird,0.0718,4.83,0.076171875,5.0,0.1259765625,6.28515625,0.07177734375,4.828125,0.05225,4.176
2263,USA,0.0154571533203125,5,e21544819304302,airplane,0.04736,3.549,0.044921875,3.490234375,0.06494140625,4.14453125,0.04736328125,3.548828125,0.06055,4.016
2264,USA,0.9384765625,5,e21542053241209,cat,0.0791,4.977,0.0947265625,5.38671875,0.1044921875,5.6328125,0.0791015625,4.9765625,0.08545,5.125
2265,USA,0.97412109375,8,e21550689187843,cat,0.06836,4.293,0.04443359375,3.525390625,0.07763671875,4.62890625,0.068359375,4.29296875,0.05322,3.852
2266,USA,0.60302734375,6,e21547230596884,hat,0.04346,3.459,0.05419921875,3.830078125,0.04052734375,3.296875,0.04345703125,3.458984375,0.04102,3.367
2267,USA,0.630859375,6,e21542220695445,tree,0.04932,3.672,0.056640625,3.947265625,0.0576171875,3.970703125,0.04931640625,3.671875,0.0801,4.68
2268,USA,0.11029052734375,4,e21547243566891,cup,0.03125,3.035,0.0263671875,2.80859375,0.05224609375,3.87109375,0.03125,3.03515625,0.03613,3.201
2269,USA,0.892578125,9,e21555523952200,car,0.04004,3.254,0.0595703125,3.962890625,0.048828125,3.5625,0.0400390625,3.25390625,0.05273,3.701
2270,USA,0.1597900390625,6,e21540577320461,chair,0.0708,4.21,0.04736328125,3.451171875,0.06396484375,3.974609375,0.07080078125,4.2109375,0.0864,4.652
2271,USA,0.209716796875,8,e21547849501667,cup,0.04883,3.62,0.0498046875,3.66015625,0.0634765625,4.14453125,0.048828125,3.619140625,0.0659,4.22
2272,USA,0.94189453125,9,e21553292202608,chair,0.06396,3.977,0.060546875,3.8515625,0.068359375,4.0703125,0.06396484375,3.9765625,0.09766,4.867
2273,USA,0.09136962890625,8,e21548100335223,cup,0.0464,3.844,0.068359375,4.5546875,0.09130859375,5.24609375,0.04638671875,3.84375,0.07324,4.695
2274,USA,0.0275726318359375,4,e21549564465088,airplane,0.0454,3.57,0.04833984375,3.66015625,0.0458984375,3.623046875,0.04541015625,3.5703125,0.03516,3.146
2275,USA,0.10711669921875,7,e21547247873170,bird,0.06104,4.125,0.060546875,4.125,0.08544921875,4.8828125,0.06103515625,4.125,0.0786,4.688
2276,USA,0.64306640625,6,e21547834597252,tree,0.0332,3.03,0.03662109375,3.158203125,0.06689453125,4.2265625,0.033203125,3.029296875,0.04932,3.66
2277,USA,0.64892578125,4,e21547243566891,chair,0.04248,3.31,0.048828125,3.57421875,0.05029296875,3.619140625,0.04248046875,3.310546875,0.06006,3.975
2278,USA,0.58544921875,6,e21541008354503,tree,0.0371,3.188,0.048828125,3.609375,0.072265625,4.3828125,0.037109375,3.1875,0.05957,3.988
2279,USA,0.416259765625,7,e21548873811739,chair,0.03174,2.889,0.05078125,3.634765625,0.0546875,3.763671875,0.03173828125,2.888671875,0.04883,3.574
2280,USA,0.66015625,8,e21548100335223,chair,0.03027,2.818,0.04443359375,3.357421875,0.05224609375,3.64453125,0.0302734375,2.818359375,0.04834,3.486
2281,USA,0.921875,8,e21550689187843,car,0.0376,3.162,0.0390625,3.2109375,0.041015625,3.318359375,0.03759765625,3.162109375,0.0381,3.21
2282,USA,0.9404296875,9,e21553292202608,cup,0.0327,3.113,0.033203125,3.0546875,0.02880859375,2.9140625,0.03271484375,3.11328125,0.03027,2.982
2283,USA,0.0195770263671875,8,e21550694845595,cup,0.05518,3.748,0.07421875,4.359375,0.0810546875,4.54296875,0.05517578125,3.748046875,0.0967,4.953
2284,USA,0.037017822265625,4,e21547246292717,car,0.0742,4.684,0.078125,4.8046875,0.0810546875,4.8984375,0.07421875,4.68359375,0.0547,4.113
2285,USA,0.76025390625,9,e21555533816883,chair,0.0674,4.293,0.07470703125,4.48828125,0.06884765625,4.3046875,0.0673828125,4.29296875,0.0503,3.729
2286,USA,0.3291015625,6,e21547836732785,bird,0.0864,4.867,0.0771484375,4.64453125,0.11767578125,5.6640625,0.08642578125,4.8671875,0.0781,4.637
2287,USA,0.314208984375,5,e21542225408593,watch,0.148,5.867,0.1865234375,6.77734375,0.17333984375,6.43359375,0.14794921875,5.8671875,0.1812,6.633
2288,USA,0.7802734375,7,e21548441283760,car,0.0845,4.668,0.09375,4.91796875,0.1279296875,5.7421875,0.08447265625,4.66796875,0.103,5.137
2289,USA,0.49853515625,8,e21550698482522,watch,0.03857,3.21,0.0625,4.078125,0.0498046875,3.625,0.03857421875,3.2109375,0.05078,3.672
2290,USA,0.027130126953125,9,e21554324047717,cat,0.08496,4.8,0.126953125,5.81640625,0.09765625,5.125,0.0849609375,4.80078125,0.08984,4.93
2291,USA,0.5302734375,4,e21547071853117,hat,0.1401,5.99,0.1650390625,6.578125,0.16845703125,6.52734375,0.14013671875,5.98828125,0.1543,6.418
2292,USA,0.95703125,7,e21548451831175,cup,0.0381,3.227,0.0615234375,4.125,0.0537109375,3.814453125,0.0380859375,3.2265625,0.04053,3.36
2293,USA,0.046722412109375,5,e21542057631101,bike,0.04932,3.615,0.0751953125,4.4140625,0.0654296875,4.1015625,0.04931640625,3.615234375,0.06934,4.24
2294,USA,0.74365234375,4,e21547836177154,hat,0.0454,3.365,0.0595703125,3.9296875,0.06640625,4.07421875,0.04541015625,3.365234375,0.0796,4.586
2295,USA,0.96142578125,8,e21547845878342,cat,0.04443,3.465,0.0322265625,2.970703125,0.06787109375,4.26171875,0.04443359375,3.46484375,0.04932,3.652
2296,USA,0.0731201171875,6,e21547238095569,airplane,0.0547,3.846,0.06787109375,4.28125,0.08154296875,4.671875,0.0546875,3.845703125,0.0454,3.541
2297,USA,0.69384765625,5,e21544206692186,car,0.0679,4.152,0.1025390625,5.11328125,0.09033203125,4.8125,0.06787109375,4.15234375,0.09766,4.977
2298,USA,0.5693359375,7,e21548096758313,chair,0.02881,2.807,0.046875,3.57421875,0.056640625,3.8984375,0.02880859375,2.806640625,0.06152,4.062
2299,USA,0.265380859375,7,e21548098930405,watch,0.05273,3.73,0.05908203125,3.89453125,0.060546875,3.93359375,0.052734375,3.73046875,0.05957,3.912
2300,USA,0.417236328125,5,e21541616746618,watch,0.02002,2.498,0.02294921875,2.525390625,0.03564453125,3.1484375,0.02001953125,2.498046875,0.0371,3.201
2301,USA,0.01239776611328125,8,e21547845878342,car,0.0703,4.5,0.07470703125,4.61328125,0.1171875,5.71875,0.0703125,4.5,0.07666,4.69
2302,USA,0.1170654296875,4,e21549564465088,hat,0.0376,3.248,0.04052734375,3.359375,0.04736328125,3.642578125,0.03759765625,3.248046875,0.0371,3.223
2303,USA,0.95947265625,9,e21554324047717,car,0.05664,3.725,0.07373046875,4.30078125,0.0810546875,4.46875,0.056640625,3.724609375,0.0752,4.273
2304,USA,0.9873046875,7,e21548096758313,cup,0.0332,2.992,0.0625,4.1171875,0.0234375,2.564453125,0.033203125,2.9921875,0.05078,3.703
2305,USA,0.06011962890625,7,e21547069129052,bike,0.0371,3.33,0.04931640625,3.828125,0.04931640625,3.798828125,0.037109375,3.330078125,0.042,3.578
2306,USA,0.07080078125,9,e21555014219148,bird,0.0845,4.684,0.11328125,5.41796875,0.09130859375,4.84375,0.08447265625,4.68359375,0.0908,4.86
2307,USA,0.034881591796875,4,e21547673281903,bird,0.03516,3.22,0.041015625,3.49609375,0.0712890625,4.5390625,0.03515625,3.220703125,0.03418,3.188
2308,USA,0.385498046875,7,e21548451831175,chair,0.0957,5.09,0.09130859375,4.98828125,0.12109375,5.7109375,0.095703125,5.08984375,0.09717,5.145
2309,USA,0.01023101806640625,5,e21547062251659,cat,0.0781,4.48,0.08935546875,4.8046875,0.09375,4.91796875,0.078125,4.48046875,0.09424,4.96
2310,USA,0.275634765625,4,e21548451296118,hat,0.02734,2.672,0.03369140625,2.986328125,0.03662109375,3.1015625,0.02734375,2.671875,0.04932,3.602
2311,USA,0.0579833984375,5,e21543430495947,hat,0.03613,3.182,0.04833984375,3.6484375,0.05029296875,3.75390625,0.0361328125,3.181640625,0.04395,3.498
2312,USA,0.78564453125,9,e21553797665751,house,0.03418,3.004,0.0439453125,3.396484375,0.0390625,3.220703125,0.0341796875,3.00390625,0.06055,3.994
2313,USA,0.1495361328125,7,e21547848462737,chair,0.03125,2.877,0.044921875,3.416015625,0.056640625,3.857421875,0.03125,2.876953125,0.0713,4.31
2314,USA,0.9716796875,9,e21552765156167,bike,0.0659,4.12,0.091796875,4.8671875,0.08349609375,4.6484375,0.06591796875,4.12109375,0.0864,4.723
2315,USA,0.3740234375,6,e21541613545900,bike,0.02637,2.63,0.03173828125,2.9375,0.03173828125,2.94140625,0.0263671875,2.630859375,0.03076,2.912
2316,USA,0.04376220703125,6,e21542220695445,bird,0.04492,3.521,0.04931640625,3.689453125,0.05859375,4.0,0.044921875,3.521484375,0.04443,3.459
2317,USA,0.354248046875,7,e21548107987673,car,0.08545,4.668,0.08203125,4.6015625,0.126953125,5.703125,0.08544921875,4.66796875,0.0884,4.75
2318,USA,0.1776123046875,7,e21547844653939,cat,0.05176,3.793,0.05908203125,4.06640625,0.08544921875,4.84765625,0.0517578125,3.79296875,0.0757,4.59
2319,USA,0.455810546875,4,e21548445362792,watch,0.02197,2.557,0.03515625,3.18359375,0.033203125,3.146484375,0.02197265625,2.556640625,0.03418,3.127
2320,USA,0.67236328125,7,e21548098146005,airplane,0.02686,2.703,0.0283203125,2.767578125,0.048828125,3.603515625,0.02685546875,2.703125,0.03613,3.11
2321,USA,0.556640625,7,e21547247873170,tree,0.0337,3.043,0.08056640625,4.60546875,0.06201171875,4.04296875,0.03369140625,3.04296875,0.0864,4.785
2322,USA,0.998046875,7,e21548106388954,car,0.05273,3.781,0.0966796875,5.07421875,0.0732421875,4.4375,0.052734375,3.78125,0.07227,4.387
2323,USA,0.89990234375,4,e21541799408496,house,0.06494,4.074,0.06591796875,4.10546875,0.07470703125,4.31640625,0.06494140625,4.07421875,0.06445,4.05
2324,USA,0.52197265625,7,e21548107987673,cat,0.04004,3.535,0.0478515625,3.828125,0.07861328125,4.8359375,0.0400390625,3.53515625,0.06006,4.24
2325,USA,0.467041015625,7,e21548958550335,bike,0.0327,3.0,0.0537109375,3.830078125,0.0693359375,4.33203125,0.03271484375,3.0,0.06104,4.05
2326,USA,0.9892578125,7,e21547844653939,car,0.0332,3.01,0.06982421875,4.2890625,0.05322265625,3.744140625,0.033203125,3.009765625,0.04932,3.613
2327,USA,0.96337890625,7,e21547848462737,cup,0.042,3.416,0.09326171875,5.08203125,0.05517578125,3.9140625,0.0419921875,3.416015625,0.04932,3.686
2328,USA,0.9931640625,9,e21555102208611,house,0.03467,2.953,0.04443359375,3.3359375,0.05419921875,3.650390625,0.03466796875,2.953125,0.03906,3.166
2329,USA,0.615234375,9,e21555014219148,rabbit,0.04395,3.467,0.0654296875,4.25390625,0.04736328125,3.62890625,0.0439453125,3.466796875,0.04004,3.355
2330,USA,0.96142578125,6,e21542224218088,airplane,0.02881,2.873,0.02734375,2.796875,0.04931640625,3.697265625,0.02880859375,2.873046875,0.05127,3.77
2331,USA,0.00018739700317382812,6,e21547836732785,tree,0.1499,5.945,0.1708984375,6.45703125,0.18798828125,6.671875,0.14990234375,5.9453125,0.1963,6.938
